Date,Open,High,Low,Close,Adj Close,Volume
2004-08-19,50.05,52.08,48.03,50.22,50.22,44659000
2004-08-20,50.56,54.59,50.3,54.21,54.21,22834300
2004-08-23,55.43,56.8,54.58,54.75,54.75,18256100
2004-08-24,55.68,55.86,51.84,52.49,52.49,15247300
2004-08-25,52.53,54.05,51.99,53.05,53.05,9188600
2004-08-26,52.53,54.03,52.38,54.01,54.01,7094800
2004-08-27,54.1,54.36,52.9,53.13,53.13,6211700
2004-08-30,52.69,52.8,51.06,51.06,51.06,5196700
2004-08-31,51.2,51.91,51.13,51.24,51.24,4917800
2004-09-01,51.4,51.54,49.88,50.18,50.18,9138200
2004-09-02,49.64,51.24,49.52,50.81,50.81,15118600
2004-09-03,50.53,50.92,49.71,50.06,50.06,5152400
2004-09-07,50.56,51.05,49.85,50.84,50.84,5847500
2004-09-08,50.42,51.57,50.3,51.2,51.2,4985600
2004-09-09,51.32,51.41,50.55,51.21,51.21,4061700
2004-09-10,50.85,53.33,50.7,52.72,52.72,8698800
2004-09-13,53.37,54.26,53.28,53.8,53.8,7844100
2004-09-14,53.78,56.06,53.45,55.8,55.8,10828900
2004-09-15,55.34,57.17,55.16,56.06,56.06,10713000
2004-09-16,56.23,57.96,55.88,57.04,57.04,9266300
2004-09-17,57.27,58.8,56.83,58.8,58.8,9472500
2004-09-20,58.53,60.86,58.44,59.74,59.74,10628700
2004-09-21,59.96,60.27,58.81,58.98,58.98,7228700
2004-09-22,58.76,59.89,58.46,59.25,59.25,7581200
2004-09-23,59.48,61.38,58.57,60.47,60.47,8535600
2004-09-24,60.53,62.11,59.94,59.97,59.97,9123400
2004-09-27,59.84,60.5,58.96,59.19,59.19,7066100
2004-09-28,60.71,63.76,60.17,63.49,63.49,16929000
2004-09-29,63.41,67.58,63.18,65.61,65.61,30516400
2004-09-30,65.02,66.22,64.56,64.86,64.86,13758000
2004-10-01,65.47,67.19,64.51,66.36,66.36,15124800
2004-10-04,67.69,68.5,67.08,67.6,67.6,13022700
2004-10-05,67.4,69.33,66.19,69.25,69.25,14973200
2004-10-06,68.84,69.29,68.07,68.61,68.61,13381400
2004-10-07,68.53,70.01,68.34,69.49,69.49,14115000
2004-10-08,69.43,69.91,68.58,68.93,68.93,11069500
2004-10-11,68.57,69.5,66.99,67.7,67.7,10472100
2004-10-12,67.29,68.87,66.77,68.77,68.77,11665500
2004-10-13,71.73,71.85,70.11,70.52,70.52,19766200
2004-10-14,70.58,71.26,69.35,71.07,71.07,10442100
2004-10-15,72.54,72.82,71.05,72.13,72.13,13194700
2004-10-18,71.67,74.67,70.68,74.65,74.65,14036300
2004-10-19,75.33,76.28,73.75,74.04,74.04,18109800
2004-10-20,74.09,74.57,69.87,70.32,70.32,22722600
2004-10-21,72.27,75.14,70.88,74.76,74.76,29149800
2004-10-22,85.36,90.18,82.12,86.3,86.3,73710000
2004-10-25,88.29,97.31,86.36,93.79,93.79,65462800
2004-10-26,93.26,96.42,90.09,90.99,90.99,44569500
2004-10-27,91.45,94.85,90.98,93.08,93.08,26686200
2004-10-28,93.43,97.29,92.89,96.75,96.75,29663900
2004-10-29,99.54,100.08,95.4,95.42,95.42,42282600
2004-11-01,96.87,98.93,95.73,98.11,98.11,24425300
2004-11-02,99.49,99.72,96.77,97.53,97.53,22669900
2004-11-03,99.19,100.9,95.47,95.93,95.93,27749600
2004-11-04,94.31,95.3,91.77,92.44,92.44,28790300
2004-11-05,91.08,91.24,84.36,84.76,84.76,39626500
2004-11-08,85.55,87.81,84.78,86.36,86.36,22361200
2004-11-09,87.14,87.69,82.72,84.43,84.43,22106200
2004-11-10,85.42,86.35,83.25,84.01,84.01,21266700
2004-11-11,84.65,91.97,83.87,91.6,91.6,29941000
2004-11-12,92.71,94.99,88.79,91.09,91.09,33458700
2004-11-15,90.32,94.25,89.46,92.53,92.53,23779100
2004-11-16,88.84,89.82,85.5,86.36,86.36,41792900
2004-11-17,84.59,88.84,84.58,86.34,86.34,36229500
2004-11-18,85.23,87.3,82.95,83.85,83.85,33225900
2004-11-19,84.63,85.08,83.34,84.78,84.78,17521000
2004-11-22,82.32,84.83,80.74,82.63,82.63,24711600
2004-11-23,84.07,85.5,83.33,83.84,83.84,24801700
2004-11-24,87.5,88.69,86.34,87.47,87.47,30531400
2004-11-26,87.99,90.11,87.75,89.78,89.78,12947200
2004-11-29,90.27,91.57,88.84,90.62,90.62,21311800
2004-11-30,90.45,91.59,90.22,91.08,91.08,15384600
2004-12-01,91.07,91.34,89.86,90.07,90.07,15712400
2004-12-02,90.04,90.85,89.36,89.79,89.79,12509200
2004-12-03,90.07,90.62,88.89,90.29,90.29,11726600
2004-12-06,89.65,90.44,88.1,88.23,88.23,12495400
2004-12-07,88.09,88.19,85.36,85.8,85.8,13728000
2004-12-08,85.26,86.93,84.45,85.08,85.08,15068500
2004-12-09,85.21,86.84,84.32,86.8,86.8,15292600
2004-12-10,86.8,87.53,85.73,85.91,85.91,8625700
2004-12-13,86.17,86.68,84.81,85.31,85.31,9627500
2004-12-14,85.59,89.5,84.88,89.43,89.43,22154600
2004-12-15,89.08,90.44,88.42,89.98,89.98,22919000
2004-12-16,88.56,90.34,88.06,88.32,88.32,17128400
2004-12-17,88.47,90.34,88.36,90.13,90.13,14757600
2004-12-20,91.09,94.32,91.03,92.6,92.6,19649300
2004-12-21,93.25,94.03,91.79,91.97,91.97,11021500
2004-12-22,92.04,93.52,91.6,93.24,93.24,7806100
2004-12-23,93.82,94.39,93.09,94.04,94.04,7221900
2004-12-27,94.67,96.75,94.64,96.05,96.05,12195900
2004-12-28,96.15,96.87,95.6,96.48,96.48,8283300
2004-12-29,95.99,96.86,95.99,96.55,96.55,5350800
2004-12-30,96.58,99.21,96.02,98.9,98.9,11796700
2004-12-31,99.71,100.04,96.38,96.49,96.49,15321600
2005-01-03,98.8,101.92,97.83,101.46,101.46,31656700
2005-01-04,100.8,101.57,96.84,97.35,97.35,27484200
2005-01-05,96.82,98.55,96.21,96.85,96.85,16456700
2005-01-06,97.64,98.05,93.95,94.37,94.37,20753400
2005-01-07,95.42,97.22,94.48,97.02,97.02,19306400
2005-01-10,97.35,99.15,96.01,97.63,97.63,15064100
2005-01-11,97.91,98.95,96.69,96.87,96.87,13903400
2005-01-12,97.26,98.06,95.35,97.79,97.79,16339200
2005-01-13,97.79,98.79,97.12,97.76,97.76,13685100
2005-01-14,98.1,100.11,97.16,100.09,100.09,19261300
2005-01-18,100.59,102.61,99.43,102.05,102.05,26318800
2005-01-19,102.43,102.75,98.45,98.75,98.75,22492800
2005-01-20,96.35,98.22,96.1,97.06,97.06,17985100
2005-01-21,97.37,97.78,94.15,94.23,94.23,18498200
2005-01-24,94.44,94.76,90.25,90.45,90.45,28017300
2005-01-25,91.06,91.21,88.23,88.65,88.65,21297000
2005-01-26,89.72,94.8,89.66,94.71,94.71,24591100
2005-01-27,94.47,94.52,92.69,94.13,94.13,13241500
2005-01-28,95.11,97.45,93.26,95.27,95.27,24391900
2005-01-31,96.94,98.28,95.96,97.91,97.91,19174200
2005-02-01,97.29,98.43,95.41,96.05,96.05,37640300
2005-02-02,107.88,108.51,101.93,103.08,103.08,65533000
2005-02-03,103.1,106.79,103.01,105.54,105.54,25950200
2005-02-04,103.34,103.98,101.4,102.28,102.28,29608900
2005-02-07,102.73,103.3,97.85,98.11,98.11,25894800
2005-02-08,98.58,100.11,97.36,99.42,99.42,22937000
2005-02-09,100.48,100.9,94.82,95.89,95.89,34308600
2005-02-10,96.08,96.2,92.72,94.08,94.08,37927400
2005-02-11,93.42,96.26,93.13,93.79,93.79,26205700
2005-02-14,91.52,96.64,90.59,96.59,96.59,77047200
2005-02-15,96.9,100.02,96.64,97.71,97.71,51514000
2005-02-16,97.45,99.76,97.25,99.3,99.3,33031500
2005-02-17,99.01,99.97,98.5,99.05,99.05,20807900
2005-02-18,99.35,99.52,98.43,99.07,99.07,16954800
2005-02-22,98.35,99.55,95.29,95.78,95.78,26940400
2005-02-23,96.75,97.34,94.42,97.07,97.07,31140800
2005-02-24,91.78,95.02,91.21,94.54,94.54,51576900
2005-02-25,94.67,95.06,92.85,93.03,93.03,19927000
2005-02-28,93.09,95.03,93.02,94.09,94.09,15621100
2005-03-01,94.74,94.97,91.09,93.12,93.12,18603700
2005-03-02,93.07,93.93,92.27,92.68,92.68,14556400
2005-03-03,93.16,93.97,92.25,93.6,93.6,15201900
2005-03-04,93.44,93.72,92.63,93.04,93.04,13534600
2005-03-07,93.98,94.89,93.61,94.5,94.5,17317400
2005-03-08,94.64,95.02,92.58,92.69,92.69,16076100
2005-03-09,92.2,92.42,90.17,90.77,90.77,22698000
2005-03-10,90.6,90.69,88.79,90.08,90.08,21899000
2005-03-11,90.31,90.57,88.66,88.99,88.99,16040500
2005-03-14,89.25,89.29,86.37,87.58,87.58,22270900
2005-03-15,87.74,90.09,87.19,89.39,89.39,20823300
2005-03-16,88.44,89.39,87.59,87.89,87.89,14198300
2005-03-17,88.65,89.91,87.99,89.73,89.73,16504600
2005-03-18,89.49,90.29,89.24,90.11,90.11,14165800
2005-03-21,89.72,91.18,88.71,90.53,90.53,14952400
2005-03-22,90.68,91.06,89.01,89.39,89.39,11252100
2005-03-23,89.07,90.21,89.07,89.58,89.58,9680300
2005-03-24,90.44,90.52,89.69,89.71,89.71,7402900
2005-03-28,90.93,92.49,90.57,90.8,90.8,17458500
2005-03-29,90.62,91.73,89.12,89.87,89.87,12933000
2005-03-30,90.41,90.82,89.89,90.32,90.32,12459700
